"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","CorrectResponse","ITIs","left_stim","right_stim","task.ACC","task.RESP","task.RT","run"
"Matching_Run1",2,1,"05-13-2015",20:01:50,2,3,"NumberMatching",2,2,2,"D6_1","N3",1,2,270,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,2,3,"NumberMatching",3,1,1,"D2_2","N2",1,1,1738,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,2,3,"NumberMatching",4,1,2,"N9","D9_1",0,NA,0,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,2,3,"NumberMatching",5,1,3,"N3","D3_1",1,1,295,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,2,3,"NumberMatching",6,2,1,"N1","D4_2",1,2,1769,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",1,1,2,"S2","S2",1,1,2471,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",2,1,1,"S3","S3",1,1,1237,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",3,1,3,"S8","S8",1,1,1572,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",4,2,2,"S3","S4",1,2,2276,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",5,2,1,"S6","S7",1,2,1349,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,3,6,"ShapeMatching",6,2,3,"S8","S9",1,2,1465,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",1,2,2,"N9","D7_2",0,1,3391,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",2,1,1,"D8_2","N8",0,2,1126,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",3,1,3,"D4_2","N4",1,1,1963,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",4,1,2,"N1","D1_1",1,1,1310,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",5,1,3,"N5","D5_1",1,1,1783,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,4,1,"NumberMatching",6,1,1,"D6_2","N6",0,NA,0,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",1,1,3,"S4","S4",1,1,1800,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",2,2,2,"S1","S2",1,2,1709,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",3,2,1,"S2","S3",1,2,2201,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",4,2,3,"S7","S8",1,2,1263,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",5,2,1,"S9","S1",1,2,1593,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,5,5,"ShapeMatching",6,1,2,"S7","S7",1,1,1388,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",1,2,3,"N5","D1_2",1,2,1770,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",2,2,2,"D4_1","N8",1,2,2091,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",3,2,1,"D2_1","N5",1,2,1730,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",4,2,3,"N3","D5_2",1,2,1603,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",5,2,2,"N7","D4_2",1,2,1750,1
"Matching_Run1",2,1,"05-13-2015",20:01:50,6,2,"NumberMatching",6,1,1,"N7","D7_1",0,NA,0,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",1,1,2,"N1","D1_1",1,1,1801,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",2,1,3,"N7","D7_1",0,2,3896,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",3,2,1,"D2_1","N5",1,2,1938,1
"Matching_Run1",3,1,"05-14-2015",17:44:32,1,1,"NumberMatching",4,1,3,"D8_2","N8",0,NA,0,1
